Epoch: [0][930/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.0487 (0.1009)	Prec@1 90.625 (89.890)	
Epoch: [0][940/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.0474 (0.1018)	Prec@1 96.875 (89.874)	
Epoch: [0][950/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.0674 (0.1014)	Prec@1 93.750 (89.902)	
Epoch: [0][960/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0326 (0.1009)	Prec@1 93.750 (89.923)	
Epoch: [0][970/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0830 (0.1005)	Prec@1 84.375 (89.933)	
Epoch: [0][980/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0399 (0.1000)	Prec@1 93.750 (89.950)	
Epoch: [0][990/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0276 (0.0997)	Prec@1 96.875 (89.966)	
Epoch: [0][1000/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.1763 (0.1001)	Prec@1 78.125 (89.969)	
Epoch: [0][1010/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.1243 (0.0999)	Prec@1 93.750 (89.982)	
Epoch: [0][1020/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.1492 (0.0994)	Prec@1 90.625 (90.007)	
Epoch: [0][1030/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0817 (0.0989)	Prec@1 84.375 (90.037)	
Epoch: [0][1040/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0654 (0.0983)	Prec@1 87.500 (90.073)	
Epoch: [0][1050/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.0197 (0.0977)	Prec@1 96.875 (90.111)	
Epoch: [0][1060/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0817 (0.0973)	Prec@1 93.750 (90.142)	
Epoch: [0][1070/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.0419 (0.0968)	Prec@1 90.625 (90.155)	
Epoch: [0][1080/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.0758 (0.0964)	Prec@1 90.625 (90.183)	
Epoch: [0][1090/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.0456 (0.0959)	Prec@1 90.625 (90.198)	
Epoch: [0][1100/2351]	 lr:0.01000	Time 0.417 (0.421)	Loss 0.1448 (0.0956)	Prec@1 81.250 (90.194)	
Epoch: [0][1110/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0624 (0.0951)	Prec@1 84.375 (90.212)	
Epoch: [0][1120/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0783 (0.0948)	Prec@1 87.500 (90.224)	
Epoch: [0][1130/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0157 (0.0944)	Prec@1 96.875 (90.230)	
Epoch: [0][1140/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0482 (0.0940)	Prec@1 93.750 (90.253)	
Epoch: [0][1150/2351]	 lr:0.01000	Time 0.418 (0.421)	Loss 0.0559 (0.0936)	Prec@1 93.750 (90.275)	
Epoch: [0][1160/2351]	 lr:0.01000	Time 0.419 (0.420)	Loss 0.0326 (0.0930)	Prec@1 90.625 (90.329)	
Epoch: [0][1170/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0202 (0.0925)	Prec@1 100.000 (90.385)	
Epoch: [0][1180/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.1115 (0.0921)	Prec@1 81.250 (90.395)	
Epoch: [0][1190/2351]	 lr:0.01000	Time 0.419 (0.420)	Loss 0.0488 (0.0917)	Prec@1 87.500 (90.420)	
Epoch: [0][1200/2351]	 lr:0.01000	Time 0.417 (0.420)	Loss 0.1360 (0.0914)	Prec@1 81.250 (90.440)	
Epoch: [0][1210/2351]	 lr:0.01000	Time 0.417 (0.420)	Loss 0.0474 (0.0911)	Prec@1 93.750 (90.455)	
Epoch: [0][1220/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0319 (0.0906)	Prec@1 93.750 (90.492)	
Epoch: [0][1230/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0573 (0.0902)	Prec@1 87.500 (90.506)	
Epoch: [0][1240/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0182 (0.0898)	Prec@1 100.000 (90.549)	
Epoch: [0][1250/2351]	 lr:0.01000	Time 0.417 (0.420)	Loss 0.0651 (0.0895)	Prec@1 84.375 (90.555)	
Epoch: [0][1260/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0365 (0.0891)	Prec@1 93.750 (90.603)	
Epoch: [0][1270/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0116 (0.0887)	Prec@1 100.000 (90.632)	
Epoch: [0][1280/2351]	 lr:0.01000	Time 0.419 (0.420)	Loss 0.0342 (0.0883)	Prec@1 90.625 (90.674)	
Epoch: [0][1290/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0061 (0.0879)	Prec@1 100.000 (90.710)	
Epoch: [0][1300/2351]	 lr:0.01000	Time 0.419 (0.420)	Loss 0.0542 (0.0877)	Prec@1 90.625 (90.723)	
Epoch: [0][1310/2351]	 lr:0.01000	Time 0.419 (0.420)	Loss 0.0359 (0.0872)	Prec@1 96.875 (90.770)	
Epoch: [0][1320/2351]	 lr:0.01000	Time 0.419 (0.420)	Loss 0.0156 (0.0868)	Prec@1 100.000 (90.819)	
Epoch: [0][1330/2351]	 lr:0.01000	Time 0.419 (0.420)	Loss 0.0623 (0.0867)	Prec@1 93.750 (90.839)	
Epoch: [0][1340/2351]	 lr:0.01000	Time 0.416 (0.420)	Loss 0.0672 (0.0866)	Prec@1 90.625 (90.849)	
Epoch: [0][1350/2351]	 lr:0.01000	Time 0.417 (0.420)	Loss 0.0564 (0.0865)	Prec@1 90.625 (90.854)	
Epoch: [0][1360/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0730 (0.0863)	Prec@1 87.500 (90.845)	
Epoch: [0][1370/2351]	 lr:0.01000	Time 0.417 (0.420)	Loss 0.0125 (0.0859)	Prec@1 100.000 (90.876)	
Epoch: [0][1380/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0300 (0.0857)	Prec@1 93.750 (90.894)	
Epoch: [0][1390/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.6301 (0.0858)	Prec@1 81.250 (90.895)	
Epoch: [0][1400/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0155 (0.0855)	Prec@1 100.000 (90.913)	
Epoch: [0][1410/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0395 (0.0854)	Prec@1 96.875 (90.913)	
Epoch: [0][1420/2351]	 lr:0.01000	Time 0.419 (0.420)	Loss 0.0308 (0.0855)	Prec@1 96.875 (90.931)	
Epoch: [0][1430/2351]	 lr:0.01000	Time 0.419 (0.420)	Loss 0.0145 (0.0851)	Prec@1 100.000 (90.963)	
Epoch: [0][1440/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0529 (0.0849)	Prec@1 87.500 (90.978)	
Epoch: [0][1450/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0348 (0.0845)	Prec@1 93.750 (91.011)	
Epoch: [0][1460/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0253 (0.0842)	Prec@1 96.875 (91.034)	
Epoch: [0][1470/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0394 (0.0840)	Prec@1 90.625 (91.037)	
Epoch: [0][1480/2351]	 lr:0.01000	Time 0.417 (0.420)	Loss 0.0381 (0.0837)	Prec@1 96.875 (91.060)	
Epoch: [0][1490/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0178 (0.0834)	Prec@1 96.875 (91.069)	
Epoch: [0][1500/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0140 (0.0831)	Prec@1 100.000 (91.098)	
Epoch: [0][1510/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0128 (0.0828)	Prec@1 100.000 (91.123)	
Epoch: [0][1520/2351]	 lr:0.01000	Time 0.418 (0.420)	Loss 0.0249 (0.0825)	Prec@1 96.875 (91.145)	
